HSD11B2	-1.9385439183
GPX1	1.60602639636667
MADD	1.00501838256667
ZMYND8	0.963470241566665
PCOLCE2	0.791755823566666
KIF21B	-0.607553986166669
DNAJA2	-1.0226725632
FOXN1	2.57005932416667
CABLES2	-0.621119420366665
NR5A1	-1.53431969003333
TPM4	-0.819746200633333
CEL	-5.80345546153333
CYP17A1	-2.18397000993333
ARF3	-1.44428577873333
TMEM147	-0.819712237366667
ILDR1	0.789482408
MRPL51	-1.39626872383333
TBL2	-1.84858286163333
PNRC1	1.29781828826667
BICDL2	1.03747654703333
HTRA3	-1.25797742373333
PRSS56	0.6512405939
LPA	0.6512405939
TESPA1	0.838297132766666
IGSF21	0.712409713466667
KCND3	-0.5273278434
KCNK18	1.2752177357
ADCY6	-0.560598231933332
HSD3B2	-2.3719259322
HSD3B1	-2.3719259322
RNF5	-1.07299330323333
DMBT1	-1.7354820624
SYPL1	-1.59464982043333
CLEC11A	-1.83044899366667
NLRP10	1.02514919993333
